message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_ortho_directed_disconnected,197,155,90,0,-1,1,1
marisse_ortho_directed_disconnected,198,205,180,0,-1,0,0
marisse_ortho_directed_disconnected,199,105,225,0,-1,1,1
marisse_ortho_directed_disconnected,200,255,315,0,-1,1,1
marisse_ortho_directed_disconnected,201,255,90,0,-1,1,1
marisse_ortho_directed_disconnected,202,205,180,22,-1,0,1
marisse_ortho_directed_disconnected,203,205,0,0,-1,1,1
marisse_ortho_directed_disconnected,204,105,145,180,-1,0,1
marisse_ortho_directed_disconnected,205,105,270,0,-1,1,1
marisse_ortho_directed_disconnected,206,255,270,0,-1,1,1
marisse_ortho_directed_disconnected,207,255,315,180,-1,1,0
marisse_ortho_directed_disconnected,208,105,180,22,-1,1,0
marisse_ortho_directed_disconnected,209,155,45,180,-1,1,0
marisse_ortho_directed_disconnected,210,205,270,180,-1,0,1
marisse_ortho_directed_disconnected,211,155,45,22,-1,0,1
marisse_ortho_directed_disconnected,212,155,180,0,-1,1,1
marisse_ortho_directed_disconnected,213,155,180,0,-1,1,1
marisse_ortho_directed_disconnected,214,105,145,0,-1,1,1
marisse_ortho_directed_disconnected,215,205,45,180,-1,1,0
marisse_ortho_directed_disconnected,216,155,0,0,-1,1,1
marisse_ortho_directed_disconnected,217,105,45,0,-1,1,1
marisse_ortho_directed_disconnected,218,205,145,180,-1,0,1
marisse_ortho_directed_disconnected,219,255,180,0,-1,1,1
marisse_ortho_directed_disconnected,220,155,90,90,-1,0,1
marisse_ortho_directed_disconnected,221,155,270,0,-1,1,1
marisse_ortho_directed_disconnected,222,205,180,0,-1,1,1
marisse_ortho_directed_disconnected,223,155,180,180,-1,1,0
marisse_ortho_directed_disconnected,224,255,180,90,-1,1,0
marisse_ortho_directed_disconnected,225,155,145,0,-1,1,1
marisse_ortho_directed_disconnected,226,155,225,22,-1,1,0
marisse_ortho_directed_disconnected,227,105,145,0,-1,1,1
marisse_ortho_directed_disconnected,228,105,225,90,-1,1,0
marisse_ortho_directed_disconnected,229,205,90,90,-1,0,1
marisse_ortho_directed_disconnected,230,105,315,45,-1,0,1
marisse_ortho_directed_disconnected,231,205,145,0,-1,1,1
marisse_ortho_directed_disconnected,232,155,315,0,-1,1,1
marisse_ortho_directed_disconnected,233,105,270,22,-1,1,0
marisse_ortho_directed_disconnected,234,255,315,0,-1,0,0
marisse_ortho_directed_disconnected,235,205,225,45,-1,1,0
marisse_ortho_directed_disconnected,236,255,45,0,-1,1,1
marisse_ortho_directed_disconnected,237,105,0,180,-1,0,1
marisse_ortho_directed_disconnected,238,155,0,0,-1,1,1
marisse_ortho_directed_disconnected,239,105,225,0,-1,1,1
marisse_ortho_directed_disconnected,240,205,45,0,-1,1,1
marisse_ortho_directed_disconnected,241,155,90,0,-1,1,1
marisse_ortho_directed_disconnected,242,255,180,180,-1,1,0
marisse_ortho_directed_disconnected,243,255,270,180,-1,1,0
marisse_ortho_directed_disconnected,244,255,0,0,-1,1,1
marisse_ortho_directed_disconnected,245,255,225,0,-1,1,1
marisse_ortho_directed_disconnected,246,155,145,180,-1,1,0
marisse_ortho_directed_disconnected,247,205,180,0,-1,1,1
marisse_ortho_directed_disconnected,248,155,45,90,-1,1,0
marisse_ortho_directed_disconnected,249,205,225,0,-1,1,1
marisse_ortho_directed_disconnected,250,205,45,90,-1,0,1
marisse_ortho_directed_disconnected,251,155,225,0,-1,0,0
marisse_ortho_directed_disconnected,252,255,90,0,-1,1,1
marisse_ortho_directed_disconnected,253,255,0,0,-1,0,0
marisse_ortho_directed_disconnected,254,255,45,0,-1,1,1
marisse_ortho_directed_disconnected,255,155,225,0,-1,0,0
marisse_ortho_directed_disconnected,256,105,0,0,-1,1,1

